name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;320;0;182;3073;1514;3073;1306;0
header;157;91;157;128;1787;128;1787;91
A;957;154;957;180;978;180;978;154
A;1218;381;1218;381;1219;381;1219;381
B;1305;381;1305;406;1319;406;1319;381
B;355;390;355;407;368;407;368;390
A;843;814;843;830;852;830;852;814
A;1356;875;1356;884;1363;884;1363;875
A;632;1287;632;1287;633;1287;633;1287
A;759;1372;759;1376;763;1376;763;1372
B;246;1568;246;1587;260;1587;260;1568
C;465;1665;465;1684;480;1684;480;1665
A;1179;2066;1179;2067;1179;2067;1179;2066
B;568;2283;568;2298;576;2298;576;2283
B;428;2373;428;2391;441;2391;441;2373
A;1059;2407;1059;2408;1062;2408;1062;2407
A;658;2506;658;2510;664;2510;664;2506
B;242;2614;242;2629;251;2629;251;2614
A;1357;2920;1357;2920;1357;2920;1357;2920
